,name,company,technology,job,location.city,location.country,salary.low,salary.high,salary.currency,salary.avg,is_senior
61,azure data engineer,Alterdata.io sp. z o.o.,data engineering,data_engineer,zdalna,,14000,22000,PLN,18000.0,False
62,lead operational data engineer,Link Group Sp. z o. o.,,data_engineer,zdalna,,30240,33600,PLN,31920.0,False
63,senior operational data engineer,Link Group Sp. z o. o.,,data_engineer,zdalna,,25200,30240,PLN,27720.0,True
64,data engineer,esky.pl S.A.,python,data_engineer,zdalna,,11000,14000,PLN,12500.0,False
65,operational data engineer,Link Group Sp. z o. o.,,data_engineer,zdalna,,20160,23520,PLN,21840.0,False
66,big data engineer,Allegro,spark,data_engineer,poznań,POL,12500,17000,PLN,14750.0,False
67,senior big data engineer,Allegro,spark,data_engineer,poznań,POL,16500,22500,PLN,19500.0,True
68,data engineer,Surfer,python,data_engineer,zdalna,,15000,30000,PLN,22500.0,False
69,data engineer,Orange Polska,python,data_engineer,warszawa,POL,9000,18000,PLN,13500.0,False
70,etl data engineer-professional,AVENGA,python,data_engineer,zdalna,,16464,16800,PLN,16632.0,False
71,remote big data software engineer,SoftServe,hadoop,data_engineer,zdalna,,16000,24000,PLN,20000.0,False
72,senior data & energy engineer,IIIT,,data_engineer,zdalna,,25000,34000,PLN,29500.0,True
73,data engineer/ sql developer,CBRE Business Services Organisation,SQL,data_engineer,zdalna,,17000,23000,PLN,20000.0,False
74,python data engineer,Placewise,python,data_engineer,kraków,POL,17000,21000,PLN,19000.0,False
75,mlops / data science engineer,Volue,,data_engineer,gdańsk,POL,18500,23500,PLN,21000.0,False
76,data engineer,Link Group,,data_engineer,zdalna,,19169,31150,PLN,25159.5,False
77,data warehouse engineer,Zonda Exchange,sql,data_engineer,zdalna,,17000,32000,PLN,24500.0,False
78,lead data engineer  (remote),Mindbox,,data_engineer,zdalna,,29400,32550,PLN,30975.0,False
79,data engineer,STX Next,spark,data_engineer,zdalna,,16800,25200,PLN,21000.0,False
80,azure data engineer with pyspark,Lingaro,Azure,data_engineer,zdalna,,26880,30240,PLN,28560.0,False
81,"data engineer (sql, python, cloud)",Alterdata.io sp. z o.o.,data engineering,data_engineer,zdalna,,14000,22000,PLN,18000.0,False
82,remote senior aws data engineer,ClearScale,scala,data_engineer,zdalna,,28000,38000,PLN,33000.0,True
83,dwh/big data engineer,Sii Polska,,data_engineer,warszawa,POL,21000,26250,PLN,23625.0,False
84,senior data analytics engineer,Coforge,,data_engineer,zdalna,,46200,46200,PLN,46200.0,True
85,middle/senior data engineer (python),Provectus,,data_engineer,zdalna,,10923,21847,PLN,16385.0,True
86,senior scala big data engineer,Altimetrik Poland,spark,data_engineer,zdalna,,20000,28000,PLN,24000.0,True
87,senior data engineer,Coople,,data_engineer,zdalna,,18000,33000,PLN,25500.0,True
88,data engineer,GetInData,java,data_engineer,zdalna,,20160,30240,PLN,25200.0,False
89,data engineer,GetInData,aws,data_engineer,zdalna,,20160,30240,PLN,25200.0,False
90,data scientist / ml engineer,SpyroSoft,,data_engineer,wroclaw,POL,18480,21840,PLN,20160.0,False
91,data engineer,Devire,python,data_engineer,zdalna,,13440,18480,PLN,15960.0,False
92,remote data science engineer,apreel Sp. z o.o.,python,data_engineer,zdalna,,20160,28560,PLN,24360.0,False
93,data engineer,Shiji Poland,spark,data_engineer,zdalna,,15000,20000,PLN,17500.0,False
94,data engineer,Sollers Consulting,,data_engineer,warszawa,POL,13000,18000,PLN,15500.0,False
95,bi developer / data engineer,Objectivity,,data_engineer,zdalna,,17600,25000,PLN,21300.0,False
