name,company,technology,job,location.city,location.country,salary.low,salary.high,salary.currency,salary.avg,is_senior
data engineer with python,Lingaro,python,data_engineer,zdalna,,13440,20160,PLN,16800.0,False
senior data science engineer,NavAlgo,,data_engineer,zdalna,,23962,31949,PLN,27955.5,True
junior data engineer,FOTC,SQL,data_engineer,zdalna,,5500,7500,PLN,6500.0,False
sql data engineer,Onwelo S.A.,,data_engineer,zdalna,,13650,16800,PLN,15225.0,False
mid python data engineer,Acaisoft Poland Sp. z.o.o,python,data_engineer,zdalna,,12000,19000,PLN,15500.0,False
azure data engineer,Alterdata.io sp. z o.o.,data engineering,data_engineer,zdalna,,14000,22000,PLN,18000.0,False
lead operational data engineer,Link Group Sp. z o. o.,,data_engineer,zdalna,,30240,33600,PLN,31920.0,False
senior operational data engineer,Link Group Sp. z o. o.,,data_engineer,zdalna,,25200,30240,PLN,27720.0,True
data engineer,esky.pl S.A.,python,data_engineer,zdalna,,11000,14000,PLN,12500.0,False
operational data engineer,Link Group Sp. z o. o.,,data_engineer,zdalna,,20160,23520,PLN,21840.0,False
big data engineer,Allegro,spark,data_engineer,poznań,POL,12500,17000,PLN,14750.0,False
senior big data engineer,Allegro,spark,data_engineer,poznań,POL,16500,22500,PLN,19500.0,True
data engineer,Surfer,python,data_engineer,zdalna,,15000,30000,PLN,22500.0,False
data engineer,Orange Polska,python,data_engineer,warszawa,POL,9000,18000,PLN,13500.0,False
etl data engineer-professional,AVENGA,python,data_engineer,zdalna,,16464,16800,PLN,16632.0,False
remote big data software engineer,SoftServe,hadoop,data_engineer,zdalna,,16000,24000,PLN,20000.0,False
senior data & energy engineer,IIIT,,data_engineer,zdalna,,25000,34000,PLN,29500.0,True
data engineer/ sql developer,CBRE Business Services Organisation,SQL,data_engineer,zdalna,,17000,23000,PLN,20000.0,False
python data engineer,Placewise,python,data_engineer,kraków,POL,17000,21000,PLN,19000.0,False
mlops / data science engineer,Volue,,data_engineer,gdańsk,POL,18500,23500,PLN,21000.0,False
data engineer,Link Group,,data_engineer,zdalna,,19169,31150,PLN,25159.5,False
data warehouse engineer,Zonda Exchange,sql,data_engineer,zdalna,,17000,32000,PLN,24500.0,False
lead data engineer  (remote),Mindbox,,data_engineer,zdalna,,29400,32550,PLN,30975.0,False
data engineer,STX Next,spark,data_engineer,zdalna,,16800,25200,PLN,21000.0,False
azure data engineer with pyspark,Lingaro,Azure,data_engineer,zdalna,,26880,30240,PLN,28560.0,False
