name,company,technology,job,location.city,location.country,salary.low,salary.high,salary.currency
Senior Operational Data Engineer,Link Group Sp. z o. o.,N/A,data_engineer,Zdalna,N/A,25200,30240,PLN
Data Engineer,esky.pl S.A.,python,data_engineer,Zdalna,N/A,11000,14000,PLN
Operational Data Engineer,Link Group Sp. z o. o.,N/A,data_engineer,Zdalna,N/A,20160,23520,PLN
Big Data Engineer,Allegro,spark,data_engineer,Poznań,POL,12500,17000,PLN
Senior Big Data Engineer,Allegro,spark,data_engineer,Poznań,POL,16500,22500,PLN
Data Engineer,Surfer,python,data_engineer,Zdalna,N/A,15000,30000,PLN
Data Engineer,Orange Polska,python,data_engineer,Warszawa,POL,9000,18000,PLN
ETL Data Engineer-Professional,AVENGA,python,data_engineer,Zdalna,N/A,16464,16800,PLN
Remote Big Data Software Engineer,SoftServe,hadoop,data_engineer,Zdalna,N/A,16000,24000,PLN
Senior Data & Energy Engineer,IIIT,N/A,data_engineer,Zdalna,N/A,25000,34000,PLN
Data Engineer/ SQL Developer,CBRE Business Services Organisation,SQL,data_engineer,Zdalna,N/A,17000,23000,PLN
Python Data Engineer,Placewise,python,data_engineer,Kraków,POL,17000,21000,PLN
MLOps / Data Science Engineer,Volue,N/A,data_engineer,Gdańsk,POL,18500,23500,PLN
Data Engineer,Link Group,N/A,data_engineer,Zdalna,N/A,19169,31150,PLN
Data Warehouse Engineer,Zonda Exchange,sql,data_engineer,Zdalna,N/A,17000,32000,PLN
Lead Data Engineer  (Remote),Mindbox,N/A,data_engineer,Zdalna,N/A,29400,32550,PLN
Data Engineer,STX Next,spark,data_engineer,Zdalna,N/A,16800,25200,PLN
Azure Data Engineer with PySpark,Lingaro,Azure,data_engineer,Zdalna,N/A,26880,30240,PLN
"Data Engineer (SQL, Python, Cloud)",Alterdata.io sp. z o.o.,data engineering,data_engineer,Zdalna,N/A,14000,22000,PLN
Remote Senior AWS Data Engineer,ClearScale,scala,data_engineer,Zdalna,N/A,28000,38000,PLN
DWH/Big Data Engineer,Sii Polska,N/A,data_engineer,Warszawa,POL,21000,26250,PLN
Senior Data Analytics Engineer,Coforge,N/A,data_engineer,Zdalna,N/A,46200,46200,PLN
Middle/Senior Data Engineer (Python),Provectus,N/A,data_engineer,Zdalna,N/A,10923,21847,PLN
Senior Scala Big Data Engineer,Altimetrik Poland,spark,data_engineer,Zdalna,N/A,20000,28000,PLN
Senior Data Engineer,Coople,N/A,data_engineer,Zdalna,N/A,18000,33000,PLN
Data Engineer,GetInData,java,data_engineer,Zdalna,N/A,20160,30240,PLN
Data Engineer,GetInData,aws,data_engineer,Zdalna,N/A,20160,30240,PLN
Data Scientist / ML Engineer,SpyroSoft,N/A,data_engineer,Wroclaw,POL,18480,21840,PLN
Data Engineer,Devire,python,data_engineer,Zdalna,N/A,13440,18480,PLN
Remote Data Science Engineer,apreel Sp. z o.o.,python,data_engineer,Zdalna,N/A,20160,28560,PLN
Data Engineer,Shiji Poland,spark,data_engineer,Zdalna,N/A,15000,20000,PLN
Data Engineer,Sollers Consulting,N/A,data_engineer,Warszawa,POL,13000,18000,PLN
BI Developer / Data Engineer,Objectivity,N/A,data_engineer,Zdalna,N/A,17600,25000,PLN
